OpenTime,Open,High,Low,Close,Volume
1624672740000,283.28000000,283.28000000,282.92000000,283.00000000,53.15000000
1624672800000,283.05000000,283.80000000,283.05000000,283.75000000,68.11000000
1624672860000,283.75000000,283.86000000,283.25000000,283.80000000,26.55000000
1624672920000,283.39000000,283.39000000,282.66000000,282.66000000,26.24000000
1624672980000,282.49000000,283.08000000,282.49000000,282.82000000,35.09000000
1624673040000,283.03000000,283.60000000,283.03000000,283.60000000,35.40000000
1624673100000,283.51000000,283.92000000,283.51000000,283.76000000,41.68000000
1624673160000,283.67000000,283.81000000,283.37000000,283.79000000,26.55000000
1624673220000,283.68000000,283.91000000,279.11000000,283.07000000,232.51000000
1624673280000,283.07000000,284.13000000,283.07000000,283.99000000,61.72000000
1624673340000,284.05000000,284.66000000,284.05000000,284.23000000,35.20000000
1624673400000,283.99000000,284.52000000,283.99000000,284.39000000,33.46000000
1624673460000,284.37000000,284.63000000,283.99000000,283.99000000,35.21000000
1624673520000,283.99000000,284.15000000,283.51000000,283.87000000,38.15000000
1624673580000,283.82000000,284.27000000,283.77000000,283.82000000,22.96000000
1624673640000,283.75000000,284.02000000,283.67000000,283.89000000,21.59000000
1624673700000,283.71000000,283.98000000,282.13000000,283.88000000,31.56000000
1624673760000,283.67000000,283.67000000,282.78000000,282.92000000,38.30000000
1624673820000,283.02000000,283.51000000,283.02000000,283.15000000,36.23000000
1624673880000,282.81000000,282.97000000,282.35000000,282.35000000,30.93000000
1624673940000,282.25000000,282.67000000,282.17000000,282.44000000,35.47000000
1624674000000,282.33000000,282.33000000,281.47000000,281.75000000,39.94000000
1624674060000,281.80000000,282.12000000,281.36000000,281.61000000,46.54000000
1624674120000,281.67000000,281.95000000,281.60000000,281.71000000,42.41000000
1624674180000,281.48000000,282.33000000,281.48000000,282.33000000,32.04000000
1624674240000,282.33000000,282.54000000,281.66000000,281.84000000,65.63000000
1624674300000,281.95000000,282.16000000,281.95000000,281.95000000,44.50000000
1624674360000,281.95000000,281.95000000,280.95000000,280.97000000,69.54000000
