OpenTime,Open,High,Low,Close,Volume
1624677660000,32001.97000000,32027.77000000,32000.00000000,32000.23000000,0.17177900
1624677720000,31997.01000000,32019.94000000,31997.01000000,32019.94000000,0.23429800
1624677780000,32012.66000000,32017.46000000,32004.76000000,32004.76000000,0.14056900
1624677840000,31978.61000000,31998.17000000,31977.42000000,31979.46000000,0.14066200
1624677900000,31975.01000000,32013.84000000,31975.01000000,32013.84000000,0.28129700
1624677960000,32019.90000000,32088.00000000,32004.11000000,32046.08000000,0.34871700
1624678020000,32045.66000000,32058.45000000,32006.23000000,32015.75000000,0.22014000
1624678080000,32014.05000000,32082.00000000,32014.05000000,32073.01000000,0.32865900
1624678140000,32059.70000000,32064.78000000,32024.25000000,32028.36000000,0.23400300
1624678200000,32029.92000000,32109.99000000,32029.92000000,32109.99000000,0.35842000
1624678260000,32081.03000000,32096.86000000,32076.21000000,32089.36000000,0.29605100
1624678320000,32087.07000000,32109.98000000,32081.60000000,32087.19000000,0.26481400
1624678380000,32097.49000000,32130.38000000,32097.49000000,32120.01000000,0.18681400
1624678440000,32121.23000000,32140.88000000,32048.51000000,32048.52000000,0.22060600
1624678500000,32033.93000000,32093.48000000,32033.93000000,32074.91000000,0.34406800
1624678560000,32085.13000000,32093.48000000,32085.13000000,32093.48000000,0.80989300
1624678620000,32077.47000000,32093.48000000,31937.00000000,32093.48000000,0.29705200
1624678680000,32093.48000000,32138.92000000,32093.48000000,32126.88000000,0.56259800
1624678740000,32116.28000000,32133.93000000,32116.28000000,32116.89000000,0.20232600
1624678800000,32120.75000000,32164.94000000,32000.00000000,32164.94000000,0.42083900
1624678860000,32168.25000000,32237.58000000,31937.00000000,32208.61000000,0.35852200
1624678920000,32205.37000000,32205.37000000,32160.89000000,32163.40000000,0.24861100
1624678980000,32165.51000000,32199.29000000,32160.89000000,32160.89000000,0.29518500
1624679040000,32153.85000000,32153.85000000,32109.98000000,32132.27000000,0.31214800
1624679100000,32105.83000000,32105.83000000,32070.83000000,32076.63000000,0.20258800
1624679160000,32070.95000000,32070.95000000,32042.51000000,32067.05000000,0.23717300
1624679220000,32058.99000000,32115.60000000,32046.56000000,32090.58000000,0.31164600
1624679280000,32082.23000000,32109.38000000,32069.47000000,32077.66000000,0.34282100
1624679340000,32053.49000000,32112.50000000,32051.89000000,32102.71000000,0.34288300
1624679400000,32108.72000000,32108.74000000,32061.38000000,32081.99000000,0.26498900
1624679460000,32059.01000000,32086.03000000,32059.01000000,32062.98000000,0.24944100
1624679520000,32063.87000000,32097.93000000,32032.98000000,32032.98000000,0.32749500
1624679580000,32033.17000000,32037.44000000,32012.16000000,32015.53000000,0.20296100
1624679640000,32014.14000000,32019.72000000,32003.69000000,32014.11000000,0.23426600
1624679700000,32010.19000000,32046.92000000,32010.19000000,32022.32000000,0.26535200
1624679760000,32018.21000000,32022.50000000,31981.40000000,31981.40000000,0.20624300
1624679820000,31980.01000000,32010.63000000,31975.01000000,31975.01000000,0.29692400
1624679880000,31976.27000000,31990.76000000,31946.33000000,31977.26000000,0.29715300
1624679940000,31979.41000000,32404.74000000,31972.83000000,32000.00000000,0.65859200
1624680000000,31971.52000000,32259.00000000,31971.52000000,32051.57000000,0.44125700
1624680060000,32035.67000000,32081.04000000,32035.67000000,32059.59000000,0.37508400
1624680120000,32039.48000000,32064.01000000,32034.01000000,32039.89000000,0.37443000
1624680180000,32048.02000000,32075.29000000,32045.00000000,32074.61000000,0.37430200
1624680240000,32065.74000000,32100.00000000,32059.11000000,32083.00000000,0.32795800
1624680300000,32073.76000000,32102.44000000,32062.87000000,32088.65000000,0.35841300
1624680360000,32090.88000000,32404.74000000,32090.88000000,32100.00000000,0.42583700
1624680420000,32100.73000000,32102.68000000,32077.51000000,32078.03000000,0.28049100
1624680480000,32078.37000000,32106.65000000,32039.26000000,32042.51000000,0.24936900
1624680540000,32023.25000000,32031.98000000,31986.20000000,31986.39000000,0.27117900
1624680600000,31981.39000000,32020.49000000,31981.39000000,31993.36000000,0.26565300
1624680660000,31977.01000000,31984.93000000,31957.01000000,31957.02000000,0.15635400
1624680720000,31954.13000000,31954.21000000,31934.26000000,31940.65000000,0.20677800
1624680780000,31935.40000000,31971.95000000,31920.41000000,31926.10000000,0.32864000
1624680840000,31931.69000000,31962.60000000,31930.26000000,31953.95000000,0.28170600
1624680900000,31939.51000000,32004.40000000,31939.51000000,32003.02000000,0.42202700
1624680960000,31994.32000000,32017.46000000,31986.28000000,32017.46000000,0.29766100
1624681020000,32017.70000000,32050.38000000,32017.70000000,32050.38000000,0.33400300
1624681080000,32025.53000000,32037.58000000,32013.75000000,32037.58000000,0.17235000
1624681140000,32040.99000000,32040.99000000,31978.00000000,31978.99000000,0.17501200
1624681200000,31978.02000000,32025.92000000,31978.02000000,32025.92000000,0.29678200
1624681260000,32023.12000000,32023.12000000,31920.01000000,31923.59000000,0.26673200
1624681320000,31906.99000000,31962.83000000,31906.99000000,31950.02000000,0.28183300
1624681380000,31950.01000000,31955.49000000,31885.79000000,31910.49000000,0.39184800
1624681440000,31912.87000000,31927.38000000,31800.00000000,31905.61000000,0.33202900
1624681500000,31911.68000000,31946.06000000,31900.01000000,31933.68000000,0.29760000
1624681560000,31926.87000000,31965.96000000,31926.87000000,31961.80000000,0.29727900
1624681620000,31965.17000000,31985.11000000,31948.05000000,31983.07000000,0.28149800
1624681680000,31987.90000000,32004.05000000,31980.24000000,31988.18000000,0.34442200
1624681740000,31986.04000000,32000.28000000,31982.20000000,32000.28000000,0.29692600
1624681800000,31983.08000000,32068.84000000,31978.02000000,32068.84000000,0.61588000
1624681860000,32069.80000000,32132.30000000,32068.76000000,32125.79000000,0.42213700
1624681920000,32100.00000000,32259.00000000,32100.00000000,32110.68000000,0.39248700
1624681980000,32111.17000000,32114.50000000,32086.00000000,32100.96000000,0.28096300
1624682040000,32108.92000000,32122.05000000,32096.41000000,32122.05000000,0.23356100
1624682100000,32125.00000000,32139.20000000,32106.17000000,32106.17000000,0.23598000
1624682160000,32091.18000000,32091.18000000,32061.41000000,32079.83000000,0.19708000
1624682220000,32073.68000000,32073.68000000,32036.46000000,32036.46000000,0.31192300
1624682280000,32024.84000000,32056.34000000,32024.84000000,32049.51000000,0.31209800
1624682340000,32053.39000000,32099.98000000,32053.39000000,32099.98000000,0.34285800
1624682400000,32100.00000000,32161.31000000,32100.00000000,32161.31000000,0.40543700
1624682460000,32163.62000000,32182.23000000,32143.01000000,32155.23000000,0.32649900
1624682520000,32157.64000000,32161.10000000,32130.05000000,32140.63000000,0.20216200
1624682580000,32147.51000000,32158.67000000,32108.83000000,32108.83000000,0.25049800
1624682640000,32112.68000000,32156.19000000,32111.96000000,32154.61000000,0.43711100
1624682700000,32147.93000000,32200.05000000,32147.93000000,32176.97000000,0.37689300
1624682760000,32176.71000000,32404.74000000,32137.60000000,32215.87000000,0.32954100
1624682820000,32197.86000000,32220.60000000,32197.85000000,32203.65000000,0.40667300
1624682880000,32200.01000000,32229.89000000,32200.01000000,32229.89000000,0.27931600
1624682940000,32235.45000000,32235.45000000,32196.99000000,32202.74000000,0.23284200
1624683000000,32201.12000000,32207.57000000,32179.26000000,32200.01000000,0.35718300
1624683060000,32192.96000000,32196.16000000,32169.49000000,32173.62000000,0.26409200
1624683120000,32173.00000000,32190.51000000,32161.10000000,32182.20000000,0.37293900
1624683180000,32190.54000000,32262.49000000,32185.73000000,32262.49000000,0.37247600
1624683240000,32268.56000000,32285.71000000,32242.72000000,32285.71000000,0.45379400
1624683300000,32288.72000000,32314.85000000,32279.39000000,32293.36000000,0.38702800
1624683360000,32287.13000000,32314.88000000,32274.00000000,32307.63000000,0.30963500
1624683420000,32297.29000000,32305.58000000,32286.76000000,32300.01000000,0.20123500
1624683480000,32300.01000000,32323.65000000,32300.01000000,32311.73000000,0.38686900
1624683540000,32308.30000000,32404.74000000,32308.30000000,32356.96000000,0.41012100
1624683600000,32355.99000000,32488.09000000,32300.00000000,32488.09000000,0.56775400
1624683660000,32466.47000000,32467.25000000,32408.34000000,32440.60000000,0.23125200
1624683720000,32443.94000000,32583.82000000,32259.00000000,32523.08000000,0.49763200
1624683780000,32519.58000000,32857.14000000,32421.00000000,32605.59000000,0.47952800
1624683840000,32605.55000000,33078.00000000,32584.00000000,32650.00000000,0.63361500
1624683900000,32623.94000000,32647.02000000,32600.42000000,32600.42000000,0.26049600
1624683960000,32600.00000000,32627.38000000,32558.87000000,32558.87000000,0.29312000
1624684020000,32557.42000000,32602.50000000,32557.42000000,32564.71000000,0.30693200
1624684080000,32559.12000000,32559.12000000,32505.01000000,32508.74000000,0.25831100
1624684140000,32508.74000000,32544.16000000,32508.74000000,32531.14000000,0.39425600
1624684200000,32532.19000000,32912.00000000,32462.62000000,32464.45000000,0.57026600
1624684260000,32471.92000000,32488.21000000,32459.01000000,32485.19000000,1.41787100
1624684320000,32485.19000000,32485.19000000,32401.35000000,32404.01000000,0.30014300
1624684380000,32404.01000000,32584.00000000,32404.01000000,32417.60000000,0.35764700
1624684440000,32417.60000000,32459.94000000,32417.60000000,32442.29000000,0.41809800
1624684500000,32445.46000000,32446.21000000,32372.15000000,32380.32000000,0.21083600
1624684560000,32374.70000000,32584.00000000,32370.01000000,32584.00000000,0.35955200
1624684620000,32400.00000000,32748.00000000,32350.00000000,32353.98000000,0.46757100
1624684680000,32354.39000000,32354.50000000,32305.25000000,32317.03000000,0.26896700
1624684740000,32317.00000000,32502.64000000,32259.00000000,32502.64000000,0.47219300
1624684800000,32347.39000000,32748.00000000,32326.96000000,32343.14000000,0.33185400
1624684860000,32317.00000000,32317.00000000,32278.03000000,32278.74000000,0.19166100
1624684920000,32280.12000000,32297.71000000,32238.53000000,32254.92000000,0.34810500
1624684980000,32252.21000000,32280.00000000,32252.21000000,32266.68000000,0.22001200
1624685040000,32250.01000000,32266.02000000,32250.01000000,32264.71000000,0.32647800
1624685100000,32270.00000000,32321.33000000,32270.00000000,32287.92000000,0.37617000
1624685160000,32272.89000000,32318.81000000,32268.94000000,32312.21000000,0.24769500
1624685220000,32308.23000000,32350.44000000,32308.23000000,32309.08000000,0.31315200
1624685280000,32314.91000000,32328.68000000,32311.04000000,32313.92000000,0.28002800
1624685340000,32312.38000000,32350.54000000,32312.38000000,32323.60000000,0.31237200
1624685400000,32326.67000000,32326.67000000,32267.60000000,32269.17000000,0.24338100
1624685460000,32269.27000000,32269.27000000,32250.01000000,32254.65000000,0.26500300
1624685520000,32253.03000000,32268.88000000,32098.00000000,32236.73000000,0.20373600
1624685580000,32236.91000000,32421.00000000,31500.00000000,31778.00000000,0.84547700
1624685640000,31778.00000000,32236.27000000,31500.00000000,32161.58000000,0.54133000
